city_region,graph_type,value_name,city_name,value
north_america,tab-overall,all,los_angeles,55.9%
north_america,tab-overall,all,philadelphia,55.9%
middle_east,tab-overall,all,dubai,55.9%
north_america,tab-overall,all,baltimore,55.5%
north_america,tab-overall,all,miami,55.4%
asia,tab-overall,all,kuala_lumpur,55.2%
north_america,tab-overall,all,dallas,55%
europe,tab-overall,all,moscow,53.9%
middle_east,tab-overall,all,abu_dhabi,53.7%
north_america,tab-overall,all,houston,53.5%
north_america,tab-overall,all,chicago,53.4%
north_america,tab-overall,all,new_orleans,52.6%
north_america,tab-overall,all,pittsburgh,52.5%
north_america,tab-overall,all,atlanta,52.3%
asia,tab-overall,all,shenzhen,52.1%
north_america,tab-overall,all,indianapolis,52.1%
europe,tab-overall,all,athens,51.8%
asia,tab-overall,all,bangkok,51.2%
north_america,tab-overall,all,tampa,51.1%
north_america,tab-overall,all,detroit,51.1%
middle_east,tab-overall,all,kuwait_city,50.5%
latin_america,tab-overall,all,santiago,48.5%
middle_east,tab-overall,all,doha,48.1%
asia,tab-overall,all,beijing,47.1%
asia,tab-overall,all,shanghai,46.7%
middle_east,tab-overall,all,muscat,46.3%
middle_east,tab-overall,all,riyadh,45.9%
europe,tab-overall,all,istanbul,45.9%
asia,tab-overall,all,guangzhou,45.9%
latin_america,tab-overall,all,sao_paulo,45.3%
latin_america,tab-overall,all,buenos_aires,44.9%
middle_east,tab-overall,all,jeddah,44.7%
latin_america,tab-overall,all,rio_de_janeiro,43.2%
latin_america,tab-overall,all,lima,43.1%
latin_america,tab-overall,all,mexico_city,42.8%
asia,tab-overall,all,tianjin,42.5%
middle_east,tab-overall,all,amman,42.4%
asia,tab-overall,all,hanoi,42.3%
asia,tab-overall,all,jakarta,41.3%
asia,tab-overall,all,chennai,40.9%
africa,tab-overall,all,johannesburg,40.8%
asia,tab-overall,all,bengaluru,40.7%
asia,tab-overall,all,mumbai,39.9%
asia,tab-overall,all,chengdu,39.4%
asia,tab-overall,all,wuhan,37.7%
africa,tab-overall,all,cape_town,37.4%
asia,tab-overall,all,manila,36.8%
asia,tab-overall,all,new_delhi,36.5%
africa,tab-overall,all,nairobi,34.8%
africa,tab-overall,all,cairo,34.4%
asia,tab-overall,all,kolkata,30.8%
asia,tab-people,all,seoul,76.2%
asia,tab-people,demographics,seoul,11.3%
asia,tab-people,education,seoul,13.2%
asia,tab-people,income_inequality,seoul,10.8%
asia,tab-people,work_life_balance,seoul,7.5%
asia,tab-people,crime,seoul,13.6%
asia,tab-people,health,seoul,12.8%
asia,tab-people,affordability,seoul,6.9%
europe,tab-people,all,rotterdam,73.8%
europe,tab-people,demographics,rotterdam,5.4%
europe,tab-people,education,rotterdam,7.6%
europe,tab-people,income_inequality,rotterdam,14.1%
europe,tab-people,work_life_balance,rotterdam,13.4%
europe,tab-people,crime,rotterdam,13.5%
europe,tab-people,health,rotterdam,10.1%
europe,tab-people,affordability,rotterdam,9.6%
europe,tab-people,all,hamburg,73%
europe,tab-people,demographics,hamburg,5.7%
europe,tab-people,education,hamburg,7%
europe,tab-people,income_inequality,hamburg,13.2%
europe,tab-people,work_life_balance,hamburg,14.3%
europe,tab-people,crime,hamburg,13.6%
europe,tab-people,health,hamburg,10%
europe,tab-people,affordability,hamburg,9.1%
europe,tab-people,all,vienna,71.4%
europe,tab-people,demographics,vienna,6.7%
europe,tab-people,education,vienna,7.4%
europe,tab-people,income_inequality,vienna,13.6%
europe,tab-people,work_life_balance,vienna,11.3%
europe,tab-people,crime,vienna,13.1%
europe,tab-people,health,vienna,10.3%
europe,tab-people,affordability,vienna,9.1%
europe,tab-people,all,_berlin,71%
europe,tab-people,demographics,_berlin,5.7%
europe,tab-people,education,_berlin,9.1%
europe,tab-people,income_inequality,_berlin,13.2%
europe,tab-people,work_life_balance,_berlin,9.9%
europe,tab-people,crime,_berlin,13.5%
europe,tab-people,health,_berlin,10%
europe,tab-people,affordability,_berlin,9.6%
europe,tab-people,all,prague,70.8%
europe,tab-people,demographics,prague,7.1%
europe,tab-people,education,prague,6.8%
europe,tab-people,income_inequality,prague,14.2%
europe,tab-people,work_life_balance,prague,10.2%
europe,tab-people,crime,prague,13.1%
europe,tab-people,health,prague,7.6%
europe,tab-people,affordability,prague,11.7%
europe,tab-people,all,amsterdam,69.9%
europe,tab-people,demographics,amsterdam,5.4%
europe,tab-people,education,amsterdam,8.5%
europe,tab-people,income_inequality,amsterdam,14.1%
europe,tab-people,work_life_balance,amsterdam,10.6%
europe,tab-people,crime,amsterdam,13.1%
europe,tab-people,health,amsterdam,10.1%
europe,tab-people,affordability,amsterdam,8.1%
europe,tab-people,all,munich,69%
europe,tab-people,demographics,munich,5.7%
europe,tab-people,education,munich,8.1%
europe,tab-people,income_inequality,munich,13.2%
europe,tab-people,work_life_balance,munich,10.6%
europe,tab-people,crime,munich,13.6%
europe,tab-people,health,munich,10%
europe,tab-people,affordability,munich,7.7%
middle_east,tab-people,all,muscat,68.6%
middle_east,tab-people,demographics,muscat,13.6%
middle_east,tab-people,education,muscat,3.6%
middle_east,tab-people,income_inequality,muscat,9.3%
middle_east,tab-people,work_life_balance,muscat,9.3%
middle_east,tab-people,crime,muscat,13.8%
middle_east,tab-people,health,muscat,6.2%
middle_east,tab-people,affordability,muscat,12.6%
north_america,tab-people,all,montreal,68.3%
north_america,tab-people,demographics,montreal,7.7%
north_america,tab-people,education,montreal,9.3%
north_america,tab-people,income_inequality,montreal,10.7%
north_america,tab-people,work_life_balance,montreal,9.7%
north_america,tab-people,crime,montreal,13.6%
north_america,tab-people,health,montreal,8.7%
north_america,tab-people,affordability,montreal,8.6%
europe,tab-people,all,antwerp,68.1%
europe,tab-people,demographics,antwerp,4.9%
europe,tab-people,education,antwerp,7.6%
europe,tab-people,income_inequality,antwerp,13.8%
europe,tab-people,work_life_balance,antwerp,11%
europe,tab-people,crime,antwerp,13%
europe,tab-people,health,antwerp,9.7%
europe,tab-people,affordability,antwerp,8.1%
europe,tab-people,all,brussels,67.9%
europe,tab-people,demographics,brussels,4.9%
europe,tab-people,education,brussels,9%
europe,tab-people,income_inequality,brussels,13.8%
europe,tab-people,work_life_balance,brussels,10.7%
europe,tab-people,crime,brussels,12.2%
europe,tab-people,health,brussels,9.7%
europe,tab-people,affordability,brussels,7.6%
europe,tab-people,all,barcelona,67.8%
europe,tab-people,demographics,barcelona,6.3%
europe,tab-people,education,barcelona,9.1%
europe,tab-people,income_inequality,barcelona,8.9%
europe,tab-people,work_life_balance,barcelona,10.5%
europe,tab-people,crime,barcelona,13.6%
europe,tab-people,health,barcelona,9.9%
europe,tab-people,affordability,barcelona,9.5%
europe,tab-people,all,stockholm,67.7%
europe,tab-people,demographics,stockholm,3.2%
europe,tab-people,education,stockholm,8.6%
europe,tab-people,income_inequality,stockholm,14.2%
europe,tab-people,work_life_balance,stockholm,9.9%
europe,tab-people,crime,stockholm,13.7%
europe,tab-people,health,stockholm,10.2%
europe,tab-people,affordability,stockholm,7.8%
europe,tab-people,all,warsaw,67.5%
europe,tab-people,demographics,warsaw,9.1%
europe,tab-people,education,warsaw,6.9%
europe,tab-people,income_inequality,warsaw,10.3%
europe,tab-people,work_life_balance,warsaw,10.1%
europe,tab-people,crime,warsaw,12.6%
europe,tab-people,health,warsaw,7.3%
europe,tab-people,affordability,warsaw,11.2%
europe,tab-people,all,frankfurt,67.5%
europe,tab-people,demographics,frankfurt,5.7%
europe,tab-people,education,frankfurt,6.8%
europe,tab-people,income_inequality,frankfurt,13.2%
europe,tab-people,work_life_balance,frankfurt,10.1%
europe,tab-people,crime,frankfurt,13.6%
europe,tab-people,health,frankfurt,10%
europe,tab-people,affordability,frankfurt,8.1%
australasia,tab-people,all,canberra,67.5%
australasia,tab-people,demographics,canberra,6.2%
australasia,tab-people,education,canberra,10.2%
australasia,tab-people,income_inequality,canberra,11.6%
australasia,tab-people,work_life_balance,canberra,9.7%
australasia,tab-people,crime,canberra,14.3%
australasia,tab-people,health,canberra,9%
australasia,tab-people,affordability,canberra,6.6%
europe,tab-people,all,madrid,67.3%
europe,tab-people,demographics,madrid,6.3%
europe,tab-people,education,madrid,8.8%
europe,tab-people,income_inequality,madrid,8.9%
europe,tab-people,work_life_balance,madrid,10.5%
europe,tab-people,crime,madrid,13.5%
europe,tab-people,health,madrid,9.9%
europe,tab-people,affordability,madrid,9.4%
europe,tab-people,all,lyon,67.3%
europe,tab-people,demographics,lyon,2.8%
europe,tab-people,education,lyon,8.2%
europe,tab-people,income_inequality,lyon,11.7%
europe,tab-people,work_life_balance,lyon,12%
europe,tab-people,crime,lyon,13.5%
europe,tab-people,health,lyon,9.7%
europe,tab-people,affordability,lyon,9.5%
europe,tab-people,all,paris,67.3%
europe,tab-people,demographics,paris,2.8%
europe,tab-people,education,paris,11.4%
europe,tab-people,income_inequality,paris,11.7%
europe,tab-people,work_life_balance,paris,12.4%
europe,tab-people,crime,paris,12.8%
europe,tab-people,health,paris,9.7%
europe,tab-people,affordability,paris,6.4%
australasia,tab-people,all,brisbane,67.2%
australasia,tab-people,demographics,brisbane,6.2%
australasia,tab-people,education,brisbane,10.9%
australasia,tab-people,income_inequality,brisbane,12.1%
australasia,tab-people,work_life_balance,brisbane,9.7%
australasia,tab-people,crime,brisbane,12.4%
australasia,tab-people,health,brisbane,9%
australasia,tab-people,affordability,brisbane,7%
australasia,tab-people,all,melbourne,66.9%
australasia,tab-people,demographics,melbourne,6.2%
australasia,tab-people,education,melbourne,11.2%
australasia,tab-people,income_inequality,melbourne,11.7%
australasia,tab-people,work_life_balance,melbourne,9.7%
australasia,tab-people,crime,melbourne,12.8%
australasia,tab-people,health,melbourne,9%
australasia,tab-people,affordability,melbourne,6.3%
north_america,tab-people,all,vancouver,66.4%
north_america,tab-people,demographics,vancouver,7.7%
north_america,tab-people,education,vancouver,8.5%
north_america,tab-people,income_inequality,vancouver,10.7%
north_america,tab-people,work_life_balance,vancouver,11%
north_america,tab-people,crime,vancouver,12.7%
north_america,tab-people,health,vancouver,8.7%
north_america,tab-people,affordability,vancouver,7.1%
europe,tab-people,all,copenhagen,66.3%
europe,tab-people,demographics,copenhagen,4.3%
europe,tab-people,education,copenhagen,8.7%
europe,tab-people,income_inequality,copenhagen,14.3%
europe,tab-people,work_life_balance,copenhagen,11%
europe,tab-people,crime,copenhagen,13.4%
europe,tab-people,health,copenhagen,9.8%
europe,tab-people,affordability,copenhagen,4.8%
australasia,tab-people,all,sydney,66%
australasia,tab-people,demographics,sydney,6.2%
australasia,tab-people,education,sydney,12.4%
australasia,tab-people,income_inequality,sydney,11%
australasia,tab-people,work_life_balance,sydney,9.1%
australasia,tab-people,crime,sydney,13.1%
australasia,tab-people,health,sydney,9%
australasia,tab-people,affordability,sydney,5.2%
uk,tab-people,all,leeds,65.1%
uk,tab-people,demographics,leeds,4.6%
uk,tab-people,education,leeds,8.7%
uk,tab-people,income_inequality,leeds,11.4%
uk,tab-people,work_life_balance,leeds,9.4%
uk,tab-people,crime,leeds,13.5%
uk,tab-people,health,leeds,9.5%
uk,tab-people,affordability,leeds,7.8%
europe,tab-people,all,zurich,64.9%
europe,tab-people,demographics,zurich,6.9%
europe,tab-people,education,zurich,9.3%
europe,tab-people,income_inequality,zurich,12.4%
europe,tab-people,work_life_balance,zurich,7.8%
europe,tab-people,crime,zurich,14.3%
europe,tab-people,health,zurich,10.9%
europe,tab-people,affordability,zurich,3.3%
uk,tab-people,all,birmingham,64.8%
uk,tab-people,demographics,birmingham,4.6%
uk,tab-people,education,birmingham,8.6%
uk,tab-people,income_inequality,birmingham,11.3%
uk,tab-people,work_life_balance,birmingham,9.4%
uk,tab-people,crime,birmingham,13.6%
uk,tab-people,health,birmingham,8.6%
uk,tab-people,affordability,birmingham,8.5%
europe,tab-people,all,lisbon,64.6%
europe,tab-people,demographics,lisbon,5.2%
europe,tab-people,education,lisbon,5.7%
europe,tab-people,income_inequality,lisbon,9.7%
europe,tab-people,work_life_balance,lisbon,10.2%
europe,tab-people,crime,lisbon,13.8%
europe,tab-people,health,lisbon,9.7%
europe,tab-people,affordability,lisbon,10.2%
europe,tab-people,all,geneva,64.3%
europe,tab-people,demographics,geneva,6.9%
europe,tab-people,education,geneva,8%
europe,tab-people,income_inequality,geneva,12.4%
europe,tab-people,work_life_balance,geneva,8.6%
europe,tab-people,crime,geneva,13.8%
europe,tab-people,health,geneva,10.9%
europe,tab-people,affordability,geneva,3.7%
uk,tab-people,all,manchester,64.3%
uk,tab-people,demographics,manchester,4.6%
uk,tab-people,education,manchester,8.9%
uk,tab-people,income_inequality,manchester,10.5%
uk,tab-people,work_life_balance,manchester,9.4%
uk,tab-people,crime,manchester,13.3%
uk,tab-people,health,manchester,9.4%
uk,tab-people,affordability,manchester,8.1%
asia,tab-people,all,taipei,64.2%
asia,tab-people,demographics,taipei,12%
asia,tab-people,education,taipei,9.6%
asia,tab-people,income_inequality,taipei,9.9%
asia,tab-people,work_life_balance,taipei,4.5%
asia,tab-people,crime,taipei,11.8%
asia,tab-people,health,taipei,9.9%
asia,tab-people,affordability,taipei,6.4%
europe,tab-people,all,rome,63.8%
europe,tab-people,demographics,rome,4.1%
europe,tab-people,education,rome,6.7%
europe,tab-people,income_inequality,rome,10.8%
europe,tab-people,work_life_balance,rome,10.4%
europe,tab-people,crime,rome,13.5%
europe,tab-people,health,rome,10.4%
europe,tab-people,affordability,rome,7.8%
europe,tab-people,all,milan,63.7%
europe,tab-people,demographics,milan,4.1%
europe,tab-people,education,milan,7.2%
europe,tab-people,income_inequality,milan,10.8%
europe,tab-people,work_life_balance,milan,11.1%
europe,tab-people,crime,milan,13.5%
europe,tab-people,health,milan,10.4%
europe,tab-people,affordability,milan,6.6%
europe,tab-people,all,moscow,63.6%
europe,tab-people,demographics,moscow,9.4%
europe,tab-people,education,moscow,10.4%
europe,tab-people,income_inequality,moscow,5.9%
europe,tab-people,work_life_balance,moscow,11.7%
europe,tab-people,crime,moscow,11.2%
europe,tab-people,health,moscow,5%
europe,tab-people,affordability,moscow,9.9%
middle_east,tab-people,all,kuwait_city,63.3%
middle_east,tab-people,demographics,kuwait_city,13.1%
middle_east,tab-people,education,kuwait_city,4.7%
middle_east,tab-people,income_inequality,kuwait_city,8.7%
middle_east,tab-people,work_life_balance,kuwait_city,8.7%
middle_east,tab-people,crime,kuwait_city,13.3%
middle_east,tab-people,health,kuwait_city,3.6%
middle_east,tab-people,affordability,kuwait_city,11.3%
uk,tab-people,all,london,63.1%
uk,tab-people,demographics,london,4.6%
uk,tab-people,education,london,13.1%
uk,tab-people,income_inequality,london,8.5%
uk,tab-people,work_life_balance,london,10.4%
uk,tab-people,crime,london,13.2%
uk,tab-people,health,london,10%
uk,tab-people,affordability,london,3.4%
uk,tab-people,all,edinburgh,63.1%
uk,tab-people,demographics,edinburgh,4.6%
uk,tab-people,education,edinburgh,9%
uk,tab-people,income_inequality,edinburgh,10.6%
uk,tab-people,work_life_balance,edinburgh,9.4%
uk,tab-people,crime,edinburgh,13.5%
uk,tab-people,health,edinburgh,8.5%
uk,tab-people,affordability,edinburgh,7.5%
europe,tab-people,all,dublin,62.7%
europe,tab-people,demographics,dublin,5.4%
europe,tab-people,education,dublin,9.5%
europe,tab-people,income_inequality,dublin,9.9%
europe,tab-people,work_life_balance,dublin,9.9%
europe,tab-people,crime,dublin,12.6%
europe,tab-people,health,dublin,9%
europe,tab-people,affordability,dublin,6.3%
north_america,tab-people,all,toronto,62.3%
north_america,tab-people,demographics,toronto,7.7%
north_america,tab-people,education,toronto,8.1%
north_america,tab-people,income_inequality,toronto,10.7%
north_america,tab-people,work_life_balance,toronto,6.8%
north_america,tab-people,crime,toronto,13.2%
north_america,tab-people,health,toronto,8.7%
north_america,tab-people,affordability,toronto,7.1%
north_america,tab-people,all,boston,62.2%
north_america,tab-people,demographics,boston,8.5%
north_america,tab-people,education,boston,13.6%
north_america,tab-people,income_inequality,boston,6.4%
north_america,tab-people,work_life_balance,boston,10.1%
north_america,tab-people,crime,boston,12.6%
north_america,tab-people,health,boston,9.1%
north_america,tab-people,affordability,boston,1.8%
uk,tab-people,all,glasgow,62.2%
uk,tab-people,demographics,glasgow,4.6%
uk,tab-people,education,glasgow,7.8%
uk,tab-people,income_inequality,glasgow,11.3%
uk,tab-people,work_life_balance,glasgow,9.4%
uk,tab-people,crime,glasgow,12.6%
uk,tab-people,health,glasgow,8.5%
uk,tab-people,affordability,glasgow,7.8%
asia,tab-people,all,shanghai,60.8%
asia,tab-people,demographics,shanghai,11.8%
asia,tab-people,education,shanghai,7.8%
asia,tab-people,income_inequality,shanghai,3.6%
asia,tab-people,work_life_balance,shanghai,5.8%
asia,tab-people,crime,shanghai,13.5%
asia,tab-people,health,shanghai,10%
asia,tab-people,affordability,shanghai,8.5%
asia,tab-people,all,tokyo,60.1%
asia,tab-people,demographics,tokyo,1.3%
asia,tab-people,education,tokyo,11.8%
asia,tab-people,income_inequality,tokyo,7.9%
asia,tab-people,work_life_balance,tokyo,5.7%
asia,tab-people,crime,tokyo,14.1%
asia,tab-people,health,tokyo,14.1%
asia,tab-people,affordability,tokyo,5.1%
asia,tab-people,all,beijing,60%
asia,tab-people,demographics,beijing,11.8%
asia,tab-people,education,beijing,8.6%
asia,tab-people,income_inequality,beijing,3.6%
asia,tab-people,work_life_balance,beijing,7.1%
asia,tab-people,crime,beijing,13.5%
asia,tab-people,health,beijing,7.4%
asia,tab-people,affordability,beijing,8.1%
asia,tab-people,all,hanoi,59.9%
asia,tab-people,demographics,hanoi,9.3%
asia,tab-people,education,hanoi,4%
asia,tab-people,income_inequality,hanoi,8.8%
asia,tab-people,work_life_balance,hanoi,1.5%
asia,tab-people,crime,hanoi,11.6%
asia,tab-people,health,hanoi,10.8%
asia,tab-people,affordability,hanoi,13.9%
north_america,tab-people,all,denver,58.9%
north_america,tab-people,demographics,denver,8.1%
north_america,tab-people,education,denver,9.5%
north_america,tab-people,income_inequality,denver,8.1%
north_america,tab-people,work_life_balance,denver,9.6%
north_america,tab-people,crime,denver,12%
north_america,tab-people,health,denver,9.4%
north_america,tab-people,affordability,denver,2.3%
asia,tab-people,all,singapore,58.6%
asia,tab-people,demographics,singapore,11.4%
asia,tab-people,education,singapore,10%
asia,tab-people,income_inequality,singapore,3.8%
asia,tab-people,work_life_balance,singapore,0%
asia,tab-people,crime,singapore,14.1%
asia,tab-people,health,singapore,13.1%
asia,tab-people,affordability,singapore,6.1%
north_america,tab-people,all,los_angeles,58.3%
north_america,tab-people,demographics,los_angeles,7.6%
north_america,tab-people,education,los_angeles,10.8%
north_america,tab-people,income_inequality,los_angeles,7.2%
north_america,tab-people,work_life_balance,los_angeles,7.6%
north_america,tab-people,crime,los_angeles,10.7%
north_america,tab-people,health,los_angeles,9.2%
north_america,tab-people,affordability,los_angeles,5.2%
australasia,tab-people,all,wellington,58.2%
australasia,tab-people,demographics,wellington,5.1%
australasia,tab-people,education,wellington,8%
australasia,tab-people,income_inequality,wellington,8.8%
australasia,tab-people,work_life_balance,wellington,8.1%
australasia,tab-people,crime,wellington,13.5%
australasia,tab-people,health,wellington,8.5%
australasia,tab-people,affordability,wellington,6.1%
north_america,tab-people,all,pittsburgh,57.9%
north_america,tab-people,demographics,pittsburgh,6.3%
north_america,tab-people,education,pittsburgh,10.5%
north_america,tab-people,income_inequality,pittsburgh,7.1%
north_america,tab-people,work_life_balance,pittsburgh,10.1%
north_america,tab-people,crime,pittsburgh,10.4%
north_america,tab-people,health,pittsburgh,7.1%
north_america,tab-people,affordability,pittsburgh,6.5%
europe,tab-people,all,athens,57.9%
europe,tab-people,demographics,athens,4.4%
europe,tab-people,education,athens,6.4%
europe,tab-people,income_inequality,athens,6.1%
europe,tab-people,work_life_balance,athens,9.5%
europe,tab-people,crime,athens,12.3%
europe,tab-people,health,athens,9.3%
europe,tab-people,affordability,athens,9.8%
asia,tab-people,all,kuala_lumpur,57.5%
asia,tab-people,demographics,kuala_lumpur,8.2%
asia,tab-people,education,kuala_lumpur,5.9%
asia,tab-people,income_inequality,kuala_lumpur,4%
asia,tab-people,work_life_balance,kuala_lumpur,7.5%
asia,tab-people,crime,kuala_lumpur,12.4%
asia,tab-people,health,kuala_lumpur,8.5%
asia,tab-people,affordability,kuala_lumpur,11%
north_america,tab-people,all,san_francisco,57.5%
north_america,tab-people,demographics,san_francisco,9.1%
north_america,tab-people,education,san_francisco,10.4%
north_america,tab-people,income_inequality,san_francisco,7.3%
north_america,tab-people,work_life_balance,san_francisco,9.7%
north_america,tab-people,crime,san_francisco,10.7%
north_america,tab-people,health,san_francisco,9.2%
north_america,tab-people,affordability,san_francisco,1%
europe,tab-people,all,dubai,57.2%
europe,tab-people,demographics,dubai,14.3%
europe,tab-people,education,dubai,4.8%
europe,tab-people,income_inequality,dubai,8.8%
europe,tab-people,work_life_balance,dubai,3.8%
europe,tab-people,crime,dubai,13.1%
europe,tab-people,health,dubai,5.2%
europe,tab-people,affordability,dubai,7.2%
middle_east,tab-people,all,riyadh,56.7%
middle_east,tab-people,demographics,riyadh,7.8%
middle_east,tab-people,education,riyadh,5.4%
middle_east,tab-people,income_inequality,riyadh,4%
middle_east,tab-people,work_life_balance,riyadh,8.1%
middle_east,tab-people,crime,riyadh,13.6%
middle_east,tab-people,health,riyadh,4.4%
middle_east,tab-people,affordability,riyadh,13.4%
middle_east,tab-people,all,doha,56.7%
middle_east,tab-people,demographics,doha,14.3%
middle_east,tab-people,education,doha,6.3%
middle_east,tab-people,income_inequality,doha,6.4%
middle_east,tab-people,work_life_balance,doha,5.3%
middle_east,tab-people,crime,doha,13.4%
middle_east,tab-people,health,doha,4.8%
middle_east,tab-people,affordability,doha,6.1%
asia,tab-people,all,jakarta,56.5%
asia,tab-people,demographics,jakarta,6.5%
asia,tab-people,education,jakarta,4.4%
asia,tab-people,income_inequality,jakarta,7.9%
asia,tab-people,work_life_balance,jakarta,5%
asia,tab-people,crime,jakarta,13.6%
asia,tab-people,health,jakarta,7.4%
asia,tab-people,affordability,jakarta,11.6%
middle_east,tab-people,all,jeddah,56.4%
middle_east,tab-people,demographics,jeddah,7.8%
middle_east,tab-people,education,jeddah,5.3%
middle_east,tab-people,income_inequality,jeddah,4%
middle_east,tab-people,work_life_balance,jeddah,8.1%
middle_east,tab-people,crime,jeddah,13.6%
middle_east,tab-people,health,jeddah,4.4%
middle_east,tab-people,affordability,jeddah,13.2%
middle_east,tab-people,all,abu_dhabi,56.3%
middle_east,tab-people,demographics,abu_dhabi,14.3%
middle_east,tab-people,education,abu_dhabi,5.5%
middle_east,tab-people,income_inequality,abu_dhabi,8.8%
middle_east,tab-people,work_life_balance,abu_dhabi,3.8%
middle_east,tab-people,crime,abu_dhabi,13.7%
middle_east,tab-people,health,abu_dhabi,5.2%
middle_east,tab-people,affordability,abu_dhabi,4.9%
north_america,tab-people,all,seattle,56.2%
north_america,tab-people,demographics,seattle,9.5%
north_america,tab-people,education,seattle,10.3%
north_america,tab-people,income_inequality,seattle,4.5%
north_america,tab-people,work_life_balance,seattle,9.3%
north_america,tab-people,crime,seattle,12.2%
north_america,tab-people,health,seattle,8.2%
north_america,tab-people,affordability,seattle,2.1%
asia,tab-people,all,wuhan,56.1%
asia,tab-people,demographics,wuhan,11.8%
asia,tab-people,education,wuhan,5.5%
asia,tab-people,income_inequality,wuhan,3.6%
asia,tab-people,work_life_balance,wuhan,0%
asia,tab-people,crime,wuhan,13.5%
asia,tab-people,health,wuhan,10%
asia,tab-people,affordability,wuhan,11.8%
asia,tab-people,all,chengdu_,56.1%
asia,tab-people,demographics,chengdu_,11.8%
asia,tab-people,education,chengdu_,4.9%
asia,tab-people,income_inequality,chengdu_,3.6%
asia,tab-people,work_life_balance,chengdu_,0%
asia,tab-people,crime,chengdu_,13.5%
asia,tab-people,health,chengdu_,10%
asia,tab-people,affordability,chengdu_,12.4%
asia,tab-people,all,bangkok,55.6%
asia,tab-people,demographics,bangkok,10.5%
asia,tab-people,education,bangkok,6.5%
asia,tab-people,income_inequality,bangkok,2.8%
asia,tab-people,work_life_balance,bangkok,3.7%
asia,tab-people,crime,bangkok,12.1%
asia,tab-people,health,bangkok,9.2%
asia,tab-people,affordability,bangkok,10.6%
asia,tab-people,all,guangzhou,55.3%
asia,tab-people,demographics,guangzhou,11.8%
asia,tab-people,education,guangzhou,5.1%
asia,tab-people,income_inequality,guangzhou,3.6%
asia,tab-people,work_life_balance,guangzhou,0%
asia,tab-people,crime,guangzhou,13.5%
asia,tab-people,health,guangzhou,10%
asia,tab-people,affordability,guangzhou,11.5%
north_america,tab-people,all,philadelphia,55%
north_america,tab-people,demographics,philadelphia,6.8%
north_america,tab-people,education,philadelphia,9.3%
north_america,tab-people,income_inequality,philadelphia,7.8%
north_america,tab-people,work_life_balance,philadelphia,10.1%
north_america,tab-people,crime,philadelphia,10.4%
north_america,tab-people,health,philadelphia,7.1%
north_america,tab-people,affordability,philadelphia,3.5%
north_america,tab-people,all,washington,54.8%
north_america,tab-people,demographics,washington,8.2%
north_america,tab-people,education,washington,10.9%
north_america,tab-people,income_inequality,washington,6.7%
north_america,tab-people,work_life_balance,washington,9.3%
north_america,tab-people,crime,washington,10.9%
north_america,tab-people,health,washington,7.6%
north_america,tab-people,affordability,washington,1.1%
asia,tab-people,all,tianjin,54.8%
asia,tab-people,demographics,tianjin,11.8%
asia,tab-people,education,tianjin,5.5%
asia,tab-people,income_inequality,tianjin,3.6%
asia,tab-people,work_life_balance,tianjin,0%
asia,tab-people,crime,tianjin,13.5%
asia,tab-people,health,tianjin,10%
asia,tab-people,affordability,tianjin,10.5%
asia,tab-people,all,macau,54.8%
asia,tab-people,demographics,macau,11.8%
asia,tab-people,education,macau,4.4%
asia,tab-people,income_inequality,macau,3.6%
